Unnamed: 0;word;translation;type;cefr;phon_br;phon_n_am;definition;example
2641;implement;реалізація;verb;b2;/ˈɪmplɪment/;/ˈɪmplɪment/;to make something that has been officially decided start to happen or be used;to implement changes/decisions/policies/reforms
2642;implementation;реалізація;noun;c1;/ˌɪmplɪmenˈteɪʃn/;/ˌɪmplɪmenˈteɪʃn/;the act of making something that has been officially decided start to happen or be used;the implementation of the new system
2643;implication;наслідки;noun;b2;/ˌɪmplɪˈkeɪʃn/;/ˌɪmplɪˈkeɪʃn/;a possible effect or result of an action or a decision;They failed to consider the wider implications of their actions.
2644;imply;мається на увазі;verb;b2;/ɪmˈplaɪ/;/ɪmˈplaɪ/;to suggest that something is true or that you feel or think something, without saying so directly;imply (that)…, Are you implying (that) I am wrong?
2645;import;імпорт;noun;b1;/ˈɪmpɔːt/;/ˈɪmpɔːrt/;a product or service that is brought into one country from another;import from…, food imports from abroad
2646;import;імпорт;verb;b1;/ɪmˈpɔːt/;/ɪmˈpɔːrt/;to bring a product, a service, an idea, etc. into one country from another;import something, The country has to import most of its raw materials.
2647;importance;важливість;noun;b1;/ɪmˈpɔːtns/;/ɪmˈpɔːrtns/;the quality of being important;She stressed the importance of careful preparation.
2648;important;важливий;adjective;a1;/ɪmˈpɔːtnt/;/ɪmˈpɔːrtnt/;"having a great effect on people or things; of great value";an important issue/question/point/factor
2649;impose;нав'язувати;verb;b2;/ɪmˈpəʊz/;/ɪmˈpəʊz/;"to introduce a new law, rule, tax, etc.; to order that a rule, punishment, etc. be used";impose something, The UN Security Council imposed sanctions in 1992.
2650;impossible;неможливий;adjective;a2;/ɪmˈpɒsəbl/;/ɪmˈpɑːsəbl/;"that cannot exist or be done; not possible";almost/virtually/nearly impossible
2651;impress;вражати;verb;b2;/ɪmˈpres/;/ɪmˈpres/;if a person or thing impresses you, you admire them or it;impress (somebody), We interviewed a number of candidates but none of them impressed us.
2652;impressed;вражений;adjective;b2;/ɪmˈprest/;/ɪmˈprest/;admiring somebody/something because you think they are particularly good, interesting, etc.;I must admit I am impressed.
2653;impression;враження;noun;b1;/ɪmˈpreʃn/;/ɪmˈpreʃn/;an idea, a feeling or an opinion that you get about somebody/something, or that somebody/something gives you;My first impression of him was favourable.
2654;impressive;вражаючий;adjective;b1;/ɪmˈpresɪv/;/ɪmˈpresɪv/;making you admire them, because they are very large, good, skilful, etc.;an impressive performance
2655;imprison;ув'язнення;verb;c1;/ɪmˈprɪzn/;/ɪmˈprɪzn/;to put somebody in a prison or another place from which they cannot escape;be imprisoned (for something), They were imprisoned for possession of drugs.
2656;imprisonment;ув'язнення;noun;c1;/ɪmˈprɪznmənt/;/ɪmˈprɪznmənt/;"the act of putting somebody in a prison or another place from which they cannot escape; the state of being there";to be sentenced to life imprisonment for murder
2657;improve;вдосконалення;verb;a1;/ɪmˈpruːv/;/ɪmˈpruːv/;"to become better than before; to make something/somebody better than before";Overall the situation has improved dramatically.
2658;improvement;поліпшення;noun;b1;/ɪmˈpruːvmənt/;/ɪmˈpruːvmənt/;"the act of making something better; the process of something becoming better";The economy has shown significant improvement over the past 9 months.
2659;in;в;adverb;a1;/ɪn/;/ɪn/;into an object, an area or a substance;She opened the door and went in.
2660;in;в;preposition;a1;/ɪn/;/ɪn/;at a point within an area or a space;a country in Africa
2661;inability;неможливість;noun;c1;/ˌɪnəˈbɪləti/;/ˌɪnəˈbɪləti/;the fact of not being able to do something;the government’s inability to provide basic services
2662;inadequate;неадекватний;adjective;c1;/ɪnˈædɪkwət/;/ɪnˈædɪkwət/;"not enough; not good enough";inadequate supplies
2663;inappropriate;невідповідний;adjective;c1;/ˌɪnəˈprəʊpriət/;/ˌɪnəˈprəʊpriət/;not suitable or appropriate in a particular situation;inappropriate behaviour/language
2664;incentive;заохочення;noun;b2;/ɪnˈsentɪv/;/ɪnˈsentɪv/;something that encourages you to do something;There is no incentive for people to save fuel.
2665;inch;дюйм;noun;b2;/ɪntʃ/;/ɪntʃ/;a unit for measuring length or height, equal to 2.54 centimetres. There are 12 inches in a foot.;She's a few inches taller than me.
2666;incidence;захворюваність;noun;c1;/ˈɪnsɪdəns/;/ˈɪnsɪdəns/;the extent to which something happens or has an effect;an area with a high incidence of crime
2667;incident;інцидент;noun;b2;/ˈɪnsɪdənt/;/ˈɪnsɪdənt/;something that happens, especially something unusual or unpleasant;His bad behaviour was just an isolated incident.
2668;inclined;похилий;adjective;c1;/ɪnˈklaɪnd/;/ɪnˈklaɪnd/;wanting to do something;She was inclined to trust him.
2669;include;включити;verb;a1;/ɪnˈkluːd/;/ɪnˈkluːd/;if one thing includes another, it has the second thing as one of its parts;include something, The tour included a visit to the Science Museum.
2670;included;включений;adjective;a2;/ɪnˈkluːdɪd/;/ɪnˈkluːdɪd/;contained as part of something;all of Europe (Britain included)
2671;including;включаючи;preposition;a2;/ɪnˈkluːdɪŋ/;/ɪnˈkluːdɪŋ/;having something as part of a group or set;I've got three days' holiday including New Year's Day.
2672;inclusion;включення;noun;c1;/ɪnˈkluːʒn/;/ɪnˈkluːʒn/;"the fact of including somebody/something; the fact of being included";His inclusion in the team is in doubt.
2673;income;дохід;noun;b2;/ˈɪnkʌm/;/ˈɪnkʌm/;the money that a person, a region, a country, etc. earns from work, from investing money, from business, etc.;Average household income fell slightly.
2674;incorporate;включити;verb;b2;/ɪnˈkɔːpəreɪt/;/ɪnˈkɔːrpəreɪt/;to include something so that it forms a part of something;incorporate something, The new car design incorporates all the latest safety features.
2675;incorrect;неправильно;adjective;b2;/ˌɪnkəˈrekt/;/ˌɪnkəˈrekt/;not accurate or true;incorrect information/spelling
2676;increase;збільшення;noun;a2;/ˈɪŋkriːs/;/ˈɪŋkriːs/;a rise in the amount, number or value of something;price/tax/wage increases
2677;increase;збільшення;verb;a2;/ɪnˈkriːs/;/ɪnˈkriːs/;"to become greater in amount, number, value, etc.; to make something greater in amount, number, value, etc.";Costs have increased significantly.
2678;increasingly;все частіше;adverb;b2;/ɪnˈkriːsɪŋli/;/ɪnˈkriːsɪŋli/;more and more all the time;Tourism is playing an increasingly important role in the region's economy
2679;incredible;неймовірний;adjective;a2;/ɪnˈkredəbl/;/ɪnˈkredəbl/;impossible or very difficult to believe;an incredible story
2680;incredibly;неймовірно;adverb;b1;/ɪnˈkredəbli/;/ɪnˈkredəbli/;extremely;It was all incredibly difficult.
2681;incur;incur;verb;c1;/ɪnˈkɜː(r)/;/ɪnˈkɜːr/;if you incur something unpleasant, you are in a situation in which you have to deal with it;She had incurred the wrath of her father by marrying without his consent.
2682;indeed;дійсно;adverb;b1;/ɪnˈdiːd/;/ɪnˈdiːd/;used after very and an adjective or adverb to emphasize a statement, description, etc.;Thank you very much indeed!
2683;independence;незалежність;noun;b2;/ˌɪndɪˈpendəns/;/ˌɪndɪˈpendəns/;freedom from political control by other countries;Cuba gained independence from Spain in 1898.
2684;independent;незалежний;adjective;a2;/ˌɪndɪˈpendənt/;/ˌɪndɪˈpendənt/;having its own government;an independent state/nation/country
2685;index;індекс;noun;b2;/ˈɪndeks/;/ˈɪndeks/;a list of names or topics that are referred to in a book, etc., usually arranged at the end of a book in alphabetical order or listed in a separate file or book;Look it up in the index.
2686;indicate;вказати;verb;b1;/ˈɪndɪkeɪt/;/ˈɪndɪkeɪt/;to show that something is true or exists;indicate something, Initial tests indicate the presence of oxygen.
2687;indication;індикація;noun;b2;/ˌɪndɪˈkeɪʃn/;/ˌɪndɪˈkeɪʃn/;a remark or sign that shows that something is happening or what somebody is thinking or feeling;indication of something, They gave no indication of how the work should be done.
2688;indicator;індикатор;noun;c1;/ˈɪndɪkeɪtə(r)/;/ˈɪndɪkeɪtər/;a sign that shows you what something is like or how a situation is changing;The economic indicators are better than expected.
2689;indictment;обвинувачення;noun;c1;/ɪnˈdaɪtmənt/;/ɪnˈdaɪtmənt/;a sign that a system, society, etc. is very bad or very wrong;The poverty in our cities is a damning indictment of modern society.
2690;indigenous;корінні;adjective;c1;/ɪnˈdɪdʒənəs/;/ɪnˈdɪdʒənəs/;"coming from a particular place and having lived there for a long time before other people came there; relating to, belonging to or developed by these people";the indigenous peoples/languages of an area
2691;indirect;непрямий;adjective;b1;/ˌɪndəˈrekt/;/ˌɪndəˈrekt/;happening not as the main aim, cause or result of a particular action, but in addition to it;the indirect effects of the war
2692;individual;індивідуальний;adjective;a2;/ˌɪndɪˈvɪdʒuəl/;/ˌɪndɪˈvɪdʒuəl/;considered separately rather than as part of a group;We interviewed each individual member of the community.
2693;individual;індивідуальний;noun;a2;/ˌɪndɪˈvɪdʒuəl/;/ˌɪndɪˈvɪdʒuəl/;a person considered separately rather than as part of a group;The competition is open to both teams and individuals.
2694;indoor;в приміщенні;adjective;b1;/ˈɪndɔː(r)/;/ˈɪndɔːr/;located, done or used inside a building;an indoor swimming pool
2695;indoors;в приміщенні;adverb;b1;/ˌɪnˈdɔːz/;/ˌɪnˈdɔːrz/;inside or into a building;I prefer to stay indoors in this really hot weather.
2696;induce;викликати;verb;c1;/ɪnˈdjuːs/;/ɪnˈduːs/;to persuade or influence somebody to do something;Nothing would induce me to take the job.
2697;indulge;понувати;verb;c1;/ɪnˈdʌldʒ/;/ɪnˈdʌldʒ/;to allow yourself to have or do something that you like, especially something that is considered bad for you;indulge in something, They went into town to indulge in some serious shopping.
2698;industrial;промисловий;adjective;b2;/ɪnˈdʌstriəl/;/ɪnˈdʌstriəl/;connected with industry;an industrial dispute
2699;industry;промисловість;noun;a2;/ˈɪndəstri/;/ˈɪndəstri/;the production of goods from raw materials, especially in factories;the needs of British industry
2700;inequality;нерівність;noun;c1;/ˌɪnɪˈkwɒləti/;/ˌɪnɪˈkwɑːləti/;the unfair difference between groups of people in society, when some have more wealth, status or opportunities than others;We need to tackle inequality of opportunity wherever we find it.
2701;inevitable;неминучий;adjective;b2;/ɪnˈevɪtəbl/;/ɪnˈevɪtəbl/;that you cannot avoid or prevent;It was an inevitable consequence of the decision.
2702;inevitably;неминуче;adverb;b2;/ɪnˈevɪtəbli/;/ɪnˈevɪtəbli/;as is certain to happen;Inevitably, the press exaggerated the story.
2703;infamous;сумнозвісний;adjective;c1;/ˈɪnfəməs/;/ˈɪnfəməs/;well known for being bad or evil;a general who was infamous for his brutality
2704;infant;немовля;noun;c1;/ˈɪnfənt/;/ˈɪnfənt/;a baby or very young child;a nursery for infants under two
2705;infect;зараження;verb;c1;/ɪnˈfekt/;/ɪnˈfekt/;to make a disease or an illness spread to a person, an animal or a plant;infect somebody/something (with something), It is not possible to infect another person through kissing.
2706;infection;інфекція;noun;b2;/ɪnˈfekʃn/;/ɪnˈfekʃn/;the act or process of causing or getting a disease;to cause/prevent infection
2707;infer;висновок;verb;b2;/ɪnˈfɜː(r)/;/ɪnˈfɜːr/;to reach an opinion or decide that something is true on the basis of information that is available;infer something (from something), Much of the meaning must be inferred from the context.
2708;inflation;інфляція;noun;b2;/ɪnˈfleɪʃn/;/ɪnˈfleɪʃn/;"a general rise in the prices of services and goods in a particular country, resulting in a fall in the value of money; the rate at which this happens";the fight against rising inflation
2709;inflict;нанести;verb;c1;/ɪnˈflɪkt/;/ɪnˈflɪkt/;to make somebody/something suffer something unpleasant;inflict something on/upon somebody/something, They inflicted a humiliating defeat on the home team.
2710;influence;вплив;noun;b1;/ˈɪnfluəns/;/ˈɪnfluəns/;the effect that somebody/something has on the way a person thinks or behaves or on the way that something works or develops;His early work shows the influence of Cézanne and Matisse.
2711;influence;вплив;verb;b1;/ˈɪnfluəns/;/ˈɪnfluəns/;to have an effect on the way that somebody behaves or thinks, especially by giving them an example to follow;influence somebody/something, His writings have influenced the lives of millions.
2712;influential;впливовий;adjective;c1;/ˌɪnfluˈenʃl/;/ˌɪnfluˈenʃl/;having a lot of influence on somebody/something;a highly influential book
2713;info;інформація;noun;b2;/ˈɪnfəʊ/;/ˈɪnfəʊ/;information;For more info, click here.
2714;inform;інформувати;verb;b2;/ɪnˈfɔːm/;/ɪnˈfɔːrm/;to tell somebody about something, especially in an official way;inform somebody, The government took this decision without consulting Parliament or informing the public.
2715;informal;неформальний;adjective;a2;/ɪnˈfɔːml/;/ɪnˈfɔːrml/;"relaxed and friendly; not following strict rules of how to behave or do something";an informal atmosphere
2716;information;інформація;noun;a1;/ˌɪnfəˈmeɪʃn/;/ˌɪnfərˈmeɪʃn/;facts or details about somebody/something;a piece of information
2717;infrastructure;інфраструктура;noun;b2;/ˈɪnfrəstrʌktʃə(r)/;/ˈɪnfrəstrʌktʃər/;;
2718;ingredient;інгредієнт;noun;b1;/ɪnˈɡriːdiənt/;/ɪnˈɡriːdiənt/;one of the things from which something is made, especially one of the foods that are used together to make a particular dish;Mix all the ingredients in a bowl.
2719;inhabitant;мешканець;noun;b2;/ɪnˈhæbɪtənt/;/ɪnˈhæbɪtənt/;a person or an animal that lives in a particular place;the oldest inhabitant of the village
2720;inherent;притаманний;adjective;c1;/ɪnˈherənt/;/ɪnˈherənt/;that is a basic or permanent part of somebody/something and that cannot be removed;the difficulties inherent in a study of this type
2721;inherit;успадкування;verb;b2;/ɪnˈherɪt/;/ɪnˈherɪt/;to receive money, property, etc. from somebody when they die;inherit something from somebody, She inherited a fortune from her father.
2722;inhibit;гальмувати;verb;c1;/ɪnˈhɪbɪt/;/ɪnˈhɪbɪt/;to prevent something from happening or make it happen more slowly or less frequently than normal;A lack of oxygen may inhibit brain development in the unborn child.
2723;initial;початковий;adjective;b2;/ɪˈnɪʃl/;/ɪˈnɪʃl/;"happening at the beginning; first";There is an initial payment of £60 followed by ten instalments of £25.
2724;initially;спочатку;adverb;b2;/ɪˈnɪʃəli/;/ɪˈnɪʃəli/;at the beginning;Initially, the system worked well.
2725;initiate;ініціювати;verb;c1;/ɪˈnɪʃieɪt/;/ɪˈnɪʃieɪt/;to make something begin;to initiate legal proceedings against somebody
2726;initiative;ініціатива;noun;b2;/ɪˈnɪʃətɪv/;/ɪˈnɪʃətɪv/;a new plan for dealing with a particular problem or for achieving a particular purpose;a United Nations peace initiative 
2727;inject;ін’єкція;verb;c1;/ɪnˈdʒekt/;/ɪnˈdʒekt/;to put a drug or other substance into a person’s or an animal’s body using a syringe;inject something (into yourself/somebody/something), Adrenaline was injected into the muscle.
2728;injection;ін'єкція;noun;c1;/ɪnˈdʒekʃn/;/ɪnˈdʒekʃn/;an act of injecting somebody with a drug or other substance;to give somebody an injection
2729;injure;травма;verb;b1;/ˈɪndʒə(r)/;/ˈɪndʒər/;to harm yourself or somebody else physically, especially in an accident;He injured his knee playing hockey.
2730;injured;поранений;adjective;b1;/ˈɪndʒəd/;/ˈɪndʒərd/;"physically hurt; having an injury";His injured leg prevented him from walking.
2731;injury;травма;noun;a2;/ˈɪndʒəri/;/ˈɪndʒəri/;harm done to a person’s or an animal’s body, for example in an accident;Two people sustained minor injuries.
2732;injustice;несправедливість;noun;c1;/ɪnˈdʒʌstɪs/;/ɪnˈdʒʌstɪs/;"the fact of a situation being unfair and of people not being treated equally; an unfair act or an example of unfair treatment";We are committed to fighting against poverty and injustice.
2733;ink;чорнило;noun;b2;/ɪŋk/;/ɪŋk/;coloured liquid for writing, drawing and printing;in ink, written in ink 
2734;inmate;ув'язнений;noun;c1;/ˈɪnmeɪt/;/ˈɪnmeɪt/;one of the people living in an institution such as a prison or a psychiatric hospital;The jail has 500 inmates.
2735;inner;внутрішній;adjective;b2;/ˈɪnə(r)/;/ˈɪnər/;"inside; towards or close to the centre of a place";an inner courtyard
2736;innocent;невинний;adjective;b1;/ˈɪnəsnt/;/ˈɪnəsnt/;"not guilty of a crime, etc.; not having done something wrong";They have imprisoned an innocent man.
2737;innovation;інновації;noun;b2;/ˌɪnəˈveɪʃn/;/ˌɪnəˈveɪʃn/;the introduction of new things, ideas or ways of doing something;an age of technological innovation
2738;innovative;інноваційний;adjective;b2;/ˈɪnəveɪtɪv/;/ˈɪnəveɪtɪv/;introducing or using new ideas, ways of doing something, etc.;There will be a prize for the most innovative design.
2739;input;вхід;noun;b2;/ˈɪnpʊt/;/ˈɪnpʊt/;"time, knowledge, ideas, etc. that you put into work, a project, etc. in order to make it succeed; the act of putting something in";I'd appreciate your input on this.
2740;inquiry;запит;noun;b2;/ɪnˈkwaɪəri/;/ˈɪnkwəri/;an official process to find out the cause of something or to find out information about something;a murder inquiry 
2741;insect;комаха;noun;a2;/ˈɪnsekt/;/ˈɪnsekt/;any small creature with six legs and a body divided into three parts. Insects usually also have wings. Ants, bees and flies are all insects.;Most birds spend most of the day eating insects.
2742;insert;вставити;verb;b2;/ɪnˈsɜːt/;/ɪnˈsɜːrt/;to put something into something else or between two things;insert something (in/into something), Insert coins into the slot and press for a ticket.
2743;insertion;вставка;noun;c1;/ɪnˈsɜːʃn/;/ɪnˈsɜːrʃn/;"the act of putting something inside something else; a thing that is put inside something else";An examination is carried out before the insertion of the tube.
2744;inside;всередині;adjective;a2;/ˈɪnsaɪd/;/ˈɪnsaɪd/;"forming the inner part of something; not on the outside";the inside pages of a newspaper
2745;inside;всередині;adverb;a2;/ˌɪnˈsaɪd/;/ˌɪnˈsaɪd/;on or to the inside;She shook it to make sure there was nothing inside.
2746;inside;всередині;noun;a2;/ˌɪnˈsaɪd/;/ˌɪnˈsaɪd/;the inner part, side or surface of something;The inside of the box was blue.
2747;inside;всередині;preposition;a2;/ˌɪnˈsaɪd/;/ˌɪnˈsaɪd/;"on or to the inner part of something/somebody; within something/somebody";Go inside the house.
2748;insider;інсайдер;noun;c1;/ɪnˈsaɪdə(r)/;/ɪnˈsaɪdər/;a person who knows a lot about a group or an organization, because they are part of it;The situation was described by one insider as ‘absolute chaos’.
2749;insight;інсайт;noun;b2;/ˈɪnsaɪt/;/ˈɪnsaɪt/;an understanding of what something is like;There are many valuable insights in her book.
2750;insist;наполягати;verb;b2;/ɪnˈsɪst/;/ɪnˈsɪst/;to demand that something happen or that somebody agree to do something;I didn't really want to go but he insisted.
2751;inspect;перевірте;verb;c1;/ɪnˈspekt/;/ɪnˈspekt/;to look closely at something/somebody, especially to check that everything is as it should be;inspect something/somebody, The teacher walked around inspecting their work.
2752;inspection;інспекція;noun;c1;/ɪnˈspekʃn/;/ɪnˈspekʃn/;an official visit to a school, factory, etc. in order to check that rules are being obeyed and that standards are acceptable;Regular inspections are carried out at the prison.
2753;inspector;інспектор;noun;b2;/ɪnˈspektə(r)/;/ɪnˈspektər/;an officer of middle rank in the police force;Inspector Maggie Forbes
2754;inspiration;натхнення;noun;c1;/ˌɪnspəˈreɪʃn/;/ˌɪnspəˈreɪʃn/;the process that takes place when somebody sees or hears something that causes them to have exciting new ideas or makes them want to create something, especially in art, music or literature;Dreams can be a rich source of inspiration for an artist.
2755;inspire;надихнути;verb;b2;/ɪnˈspaɪə(r)/;/ɪnˈspaɪər/;to give somebody the desire, confidence or enthusiasm to do something well;inspire somebody, The actors' enthusiasm inspired the kids.
2756;install;встановити;verb;b2;/ɪnˈstɔːl/;/ɪnˈstɔːl/;to fix equipment or furniture into position so that it can be used;They're planning to install a new drainage system.
2757;installation;установка;noun;b2;/ˌɪnstəˈleɪʃn/;/ˌɪnstəˈleɪʃn/;the act of fixing equipment or furniture in position so that it can be used;installation costs
2758;instance;екземпляр;noun;b2;/ˈɪnstəns/;/ˈɪnstəns/;a particular example or case of something;instance of somebody/something, The report highlights a number of instances of injustice.
2759;instant;миттєвий;adjective;b2;/ˈɪnstənt/;/ˈɪnstənt/;happening immediately;This account gives you instant access to your money.
2760;instantly;миттєво;adverb;b2;/ˈɪnstəntli/;/ˈɪnstəntli/;immediately;Her voice is instantly recognizable.
2761;instead;натомість;adverb;a2;/ɪnˈsted/;/ɪnˈsted/;in the place of somebody/something;Lee was ill so I went instead.
2762;instinct;інстинкт;noun;c1;/ˈɪnstɪŋkt/;/ˈɪnstɪŋkt/;a natural quality that makes people and animals tend to behave in a particular way using the knowledge and abilities that they were born with rather than thought or training;She did not seem to have any of the usual maternal instincts.
2763;institute;інститут;noun;b2;/ˈɪnstɪtjuːt/;/ˈɪnstɪtuːt/;"an organization that has a particular purpose, especially one that is connected with education or a particular profession; the building used by this organization";The report was compiled by Germany's five leading economic research institutes.
2764;institution;установа;noun;b2;/ˌɪnstɪˈtjuːʃn/;/ˌɪnstɪˈtuːʃn/;a large important organization that has a particular purpose, for example a university or bank;The deal is backed by one of the country's largest financial institutions.
2765;institutional;інституційний;adjective;c1;/ˌɪnstɪˈtjuːʃənl/;/ˌɪnstɪˈtuːʃənl/;connected with a large important organization, for example a university or bank;institutional investors
2766;instruct;інструкція;verb;c1;/ɪnˈstrʌkt/;/ɪnˈstrʌkt/;to tell somebody to do something, especially in a formal or official way;instruct somebody to do something, The letter instructed him to report to headquarters immediately.
2767;instruction;інструкція;noun;a2;/ɪnˈstrʌkʃn/;/ɪnˈstrʌkʃn/;detailed information on how to do or use something ;Follow the instructions on the packet carefully.
2768;instructor;інструктор;noun;a2;/ɪnˈstrʌktə(r)/;/ɪnˈstrʌktər/;a person whose job is to teach somebody a practical skill or sport;a fitness/driving/ski instructor
2769;instrument;інструмент;noun;a2;/ˈɪnstrəmənt/;/ˈɪnstrəmənt/;an object used for producing musical sounds, for example a piano or a drum;to play an instrument
2770;instrumental;інструментальний;adjective;c1;/ˌɪnstrəˈmentl/;/ˌɪnstrəˈmentl/;important in making something happen;The Conservation Trust performs an instrumental role in the protection of rural environments.
2771;insufficient;недостатній;adjective;c1;/ˌɪnsəˈfɪʃnt/;/ˌɪnsəˈfɪʃnt/;not large, strong or important enough for a particular purpose;insufficient time
2772;insult;образа;noun;c1;/ˈɪnsʌlt/;/ˈɪnsʌlt/;a remark or an action that is said or done in order to offend somebody;The crowd were shouting insults at the police.
2773;insult;образа;verb;c1;/ɪnˈsʌlt/;/ɪnˈsʌlt/;to say or do something that offends somebody;I have never been so insulted in my life!
2774;insurance;страхування;noun;b2;/ɪnˈʃʊərəns/;/ɪnˈʃʊrəns/;an arrangement with a company in which you pay them regular amounts of money and they agree to pay the costs, for example, if you die or are ill, or if you lose or damage something;health/medical insurance
2775;intact;неушкоджений;adjective;c1;/ɪnˈtækt/;/ɪnˈtækt/;complete and not damaged;Most of the house remains intact even after two hundred years.
2776;intake;впуск;noun;c1;/ˈɪnteɪk/;/ˈɪnteɪk/;the amount of food, drink, etc. that you take into your body;high fluid intake
2777;integral;інтеграл;adjective;c1;/ˈɪntɪɡrəl/;/ˈɪntɪɡrəl/;being an essential part of something;Music is an integral part of the school's curriculum.
2778;integrate;інтегрувати;verb;b2;/ˈɪntɪɡreɪt/;/ˈɪntɪɡreɪt/;"to combine two or more things so that they work together; to combine with something else in this way";integrate into/with something, These programs will integrate with your existing software.
2779;integrated;інтегрований;adjective;c1;/ˈɪntɪɡreɪtɪd/;/ˈɪntɪɡreɪtɪd/;in which many different parts are closely connected and work successfully together;an integrated programme of patient care
2780;integration;інтеграція;noun;c1;/ˌɪntɪˈɡreɪʃn/;/ˌɪntɪˈɡreɪʃn/;the act or process of combining two or more things so that they work together;The aim is to promote closer economic integration.
2781;integrity;цілісність;noun;c1;/ɪnˈteɡrəti/;/ɪnˈteɡrəti/;the quality of being honest and having strong moral principles;personal/professional/artistic integrity
2782;intellectual;інтелектуальний;adjective;b2;/ˌɪntəˈlektʃuəl/;/ˌɪntəˈlektʃuəl/;connected with or using a person’s ability to think in a logical way and understand things ;Gifted children typically show great intellectual curiosity and a wide range of interests.
2783;intellectual;інтелектуальний;noun;c1;/ˌɪntəˈlektʃuəl/;/ˌɪntəˈlektʃuəl/;a person who is well educated and enjoys activities in which they have to think seriously about things;He was a leading intellectual of his day.
2784;intelligence;інтелект;noun;b1;/ɪnˈtelɪdʒəns/;/ɪnˈtelɪdʒəns/;"the ability to learn, understand and think in a logical way about things; the ability to do this well";a person of high/average/low intelligence
2785;intelligent;розумний;adjective;a2;/ɪnˈtelɪdʒənt/;/ɪnˈtelɪdʒənt/;"good at learning, understanding and thinking in a logical way about things; showing this ability";a highly intelligent child
2786;intend;намір;verb;b1;/ɪnˈtend/;/ɪnˈtend/;to have a plan, result or purpose in your mind when you do something;We finished later than we had intended.
2787;intended;призначений;adjective;b2;/ɪnˈtendɪd/;/ɪnˈtendɪd/;that you are trying to achieve or reach;the intended purpose 
2788;intense;інтенсивно;adjective;b2;/ɪnˈtens/;/ɪnˈtens/;"very great; very strong";We were all suffering in the intense heat.
2789;intensify;посилити;verb;c1;/ɪnˈtensɪfaɪ/;/ɪnˈtensɪfaɪ/;"to increase in degree or strength; to make something increase in degree or strength";Violence intensified during the night.
2790;intensity;інтенсивність;noun;c1;/ɪnˈtensəti/;/ɪnˈtensəti/;the state or quality of being intense;intensity of light/sound/colour
2791;intensive;інтенсивне;adjective;c1;/ɪnˈtensɪv/;/ɪnˈtensɪv/;involving a lot of work or activity done in a short time;an intensive language course
2792;intent;наміри;noun;c1;/ɪnˈtent/;/ɪnˈtent/;what you intend to do ;She denies possessing the drug with intent to supply.
2793;intention;намір;noun;b1;/ɪnˈtenʃn/;/ɪnˈtenʃn/;"what you intend or plan to do; your aim";intention of doing something, I have no intention of going to the wedding.
2794;interact;взаємодіяти;verb;b2;/ˌɪntərˈækt/;/ˌɪntərˈækt/;to communicate with somebody, especially while you work, play or spend time with them;Teachers have a limited amount of time to interact with each child.
2795;interaction;взаємодія;noun;b2;/ˌɪntərˈækʃn/;/ˌɪntərˈækʃn/;the act of communicating with somebody, especially while you work, play or spend time with them;the interaction between performers and their audience
2796;interactive;інтерактивний;adjective;c1;/ˌɪntərˈæktɪv/;/ˌɪntərˈæktɪv/;that allows information to be passed continuously and in both directions between a computer or other device and the person who uses it;interactive displays/video
2797;interest;інтерес;noun;a1;/ˈɪntrəst/;/ˈɪntrəst/;the feeling that you have when you want to know or learn more about somebody/something;Her research has generated interest around the world.
2798;interest;інтерес;verb;a1;/ˈɪntrəst/;/ˈɪntrəst/;"to attract your attention and make you feel interested; to make yourself give your attention to something";interest somebody, Politics doesn't interest me.
2799;interested;зацікавлений;adjective;a1;/ˈɪntrəstɪd/;/ˈɪntrəstɪd/;"giving your attention to something because you enjoy finding out about it or doing it; showing interest in something and finding it exciting";He sounded genuinely interested.
2800;interesting;цікаво;adjective;a1;/ˈɪntrəstɪŋ/;/ˈɪntrəstɪŋ/;attracting your attention because it is/they are special, exciting or unusual;The article raises several interesting questions.
2801;interface;інтерфейс;noun;c1;/ˈɪntəfeɪs/;/ˈɪntərfeɪs/;the way a computer program presents information to a user or receives information from a user, in particular the layout of the screen and the menus;the user interface
2802;interfere;втручатися;verb;c1;/ˌɪntəˈfɪə(r)/;/ˌɪntərˈfɪr/;to get involved in and try to influence a situation that should not really involve you, in a way that annoys other people;I wish my mother would stop interfering and let me make my own decisions.
2803;interference;втручання;noun;c1;/ˌɪntəˈfɪərəns/;/ˌɪntərˈfɪrəns/;the act of getting involved in and trying to influence a situation that should not really involve you, in a way that annoys other people ;interference (in something), They resent foreign interference in the internal affairs of their country.
2804;interim;тимчасовий;adjective;c1;/ˈɪntərɪm/;/ˈɪntərɪm/;intended to last for only a short time until somebody/something more permanent is found;an interim government/measure/report
2805;interior;інтер'єр;adjective;c1;/ɪnˈtɪəriə(r)/;/ɪnˈtɪriər/;connected with the inside part of something;interior walls
2806;interior;інтер'єр;noun;c1;/ɪnˈtɪəriə(r)/;/ɪnˈtɪriər/;the inside part of something;the interior of a building/a car
2807;intermediate;проміжний;adjective;c1;/ˌɪntəˈmiːdiət/;/ˌɪntərˈmiːdiət/;located between two places, things, states, etc.;an intermediate stage/step in a process
2808;internal;внутрішній;adjective;b2;/ɪnˈtɜːnl/;/ɪnˈtɜːrnl/;connected with the inside of something;the internal structure of a building
2809;international;міжнародний;adjective;a2;/ˌɪntəˈnæʃnəl/;/ˌɪntərˈnæʃnəl/;connected with or involving two or more countries;international trade/law
